NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Modinagar_Muradnagar_D (Uttar Pradesh),Modinagar_Muradnagar1_D (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Gurgaon_N,101,0445;1045;1745;2345
Modinagar_Muradnagar1_D (Uttar Pradesh),Modinagar_Muradnagar1_D (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Gurgaon_N,101,0445;1045;1745;2345
Ambikapur_Bouripara_I (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
Ambikapur_Lakhanpur_DPP (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
Ambikapur_SaiMandirRD_D (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
Baikunthpur_Mahlpra_DPP (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
Bargidih_AashirwadBhvn_DPP (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
Bargidih_Bagicha1_D (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
Bhatgaon_Bazarpara_D (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
Kusmi_Kanjiya_D (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
Mahuadanr_Dipatoli_D (Jharkhand),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
Manendragarh_Chirimiri_D (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
Manendragarh_JKDRoad_D (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
Pathalgaon_Kargilchowk_D (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
PatnaCH_Pipardand_D (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
Premnagar_Sadakpara1_D (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
RajpurCH_Nawki_D (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
Ramanujganj_Wadafnagarrd_D (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
Ranka_Godarmana1_D (Jharkhand),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,102,0445;1045;1600;2115
