NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Aalo_Puakgumin_D (Arunachal Pradesh),Guwahati_KaliPahar_GW (Assam),E,ANY,ANY,ANY,Express,Guwahati_E,2717,0330;0600;1000;1600;2000
Aalo_Puakgumin_D (Arunachal Pradesh),Tezpur_Dipota_H (Assam),S,ANY,ANY,ANY,Surface,Tezpur_E,2309,0300;1045
Aalo_SiyomColony_D (Arunachal Pradesh),Guwahati_KaliPahar_GW (Assam),E,ANY,ANY,ANY,Express,Guwahati_E,2717,0330;0600;1000;1600;2000
Aalo_SiyomColony_D (Arunachal Pradesh),Tezpur_Dipota_H (Assam),S,ANY,ANY,ANY,Surface,Tezpur_E,2309,0300;1045
Aambasa_Manu_D (Tripura),Silchar_Ambikapur_H (Assam),E,ANY,ANY,ANY,Express,Guwahati_E,3301,0700;1500;2300
Aambasa_Manu_D (Tripura),Silchar_Ambikapur_H (Assam),S,ANY,ANY,ANY,Surface,Silchar_E,0815,0300;1045;1645;2215
Aambasa_Natunpalli_D (Tripura),Silchar_Ambikapur_H (Assam),E,ANY,ANY,ANY,Express,Guwahati_E,3301,0700;1500;2300
Aambasa_Natunpalli_D (Tripura),Silchar_Ambikapur_H (Assam),S,ANY,ANY,ANY,Surface,Silchar_E,0815,0300;1045;1645;2215
Abhanpur_DhamtariRoad_D (Chhattisgarh),Raipur_Mandhar_H (Chhattisgarh),E,ANY,ANY,ANY,Express,Raipur_W,2808,0415;1130;1730;2100
Abhanpur_DhamtariRoad_D (Chhattisgarh),Raipur_Mandhar_H (Chhattisgarh),S,ANY,ANY,ANY,Surface,Raipur_W,2601,0600
Abhanpur_KurudRoad_D (Chhattisgarh),Raipur_Mandhar_H (Chhattisgarh),E,ANY,ANY,ANY,Express,Raipur_W,2808,0415;1130;1730;2100
Abhanpur_KurudRoad_D (Chhattisgarh),Raipur_Mandhar_H (Chhattisgarh),S,ANY,ANY,ANY,Surface,Raipur_W,2601,0600
Abhanpur_MandirHasaud_D (Chhattisgarh),Raipur_Mandhar_H (Chhattisgarh),E,ANY,ANY,ANY,Express,Raipur_W,2808,0415;1130;1730;2100
Abhanpur_MandirHasaud_D (Chhattisgarh),Raipur_Mandhar_H (Chhattisgarh),S,ANY,ANY,ANY,Surface,Raipur_W,2601,0600
Abhanpur_Patan1_D (Chhattisgarh),Raipur_Mandhar_H (Chhattisgarh),E,ANY,ANY,ANY,Express,Raipur_W,2808,0415;1130;1730;2100
Abhanpur_Patan1_D (Chhattisgarh),Raipur_Mandhar_H (Chhattisgarh),S,ANY,ANY,ANY,Surface,Raipur_W,2601,0600
Abhilaya_Panvel_SN (Maharashtra),Mumbai_MahapeMIDC2_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,5010,0530;1330;2130
Abhilaya_Panvel_SN (Maharashtra),Mumbai_MahapeMIDC2_I (Maharashtra),S,ANY,ANY,ANY,Surface,Mumbai_W,2509,0530;1030
Abohar_DaulatPura1_D (Punjab),Chandigarh_RamNagar_GW (Punjab),E,ANY,ANY,ANY,Express,Chandigarh_N,0402,0330;0600;1000;1600;2000
Abohar_DaulatPura1_D (Punjab),Bathinda_KrishnaNagar_I (Punjab),S,ANY,ANY,ANY,Surface,Chandigarh_N,2104,0200;0700
Aburaod_Swaroopganj_D (Rajasthan),Mehsana_DediysnGIDC_I (Gujarat),ANY,ANY,ANY,ANY,Surface,Mehsana_W,1403,1800;2130
